Seq	Clump	VLSR	DV	e_DV	taumain	e_taumain	Tex	e_Tex	Trot	e_Trot	Tkin	e_Tkin	Bff	logN(NH3)	<logN(NH3)>	log(N(NH3)/N(H2))	<log(N(NH3)/N(H2))>	Notes	Simbad
37	G023.693+00.157	113.8	 2.3	 2.2	 3.5	 2.9	 3.9	 3.7	15.3	15.2	16.6	16.4	 0.24	15.03	14.91	-7.42	-7.39	2	Simbad
37	G023.712+00.170	113.3	 3.3	 3.2	 1.8	 2.2	 4.3	 3.6	20.1	18.0	23.1	20.2	 0.20	14.99	14.98	-7.81	-7.56	1	Simbad
37	G023.727+00.183	111.4	 1.4	 1.4	 5.6	 5.4	 3.9	 3.5	13.2	13.3	14.0	14.1	 0.27	14.99	14.96	-7.36	-7.37	 	Simbad
38	G024.143+00.129	114.7	 1.3	 1.4	 5.0	 3.6	 4.3	 3.8	13.0	13.1	13.7	13.8	 0.29	14.94	14.80	-7.42	-7.19	 	Simbad
38	G024.161+00.085	 52.0	 1.2	 1.1	 4.6	 4.6	 4.2	 3.9	11.7	11.9	12.2	12.4	 0.33	14.86	14.84	-7.38	-7.33	 	Simbad
38	G024.183+00.122	114.0	 1.7	 1.8	 6.0	 5.3	 5.0	 3.8	15.4	15.0	16.6	16.2	 0.25	15.24	15.07	-7.27	-7.06	 	Simbad
39	G025.636+01.066	 43.2	 1.6	 1.4	 3.5	 3.3	 6.4	 5.1	13.9	12.6	14.9	13.2	 0.41	15.05	14.80	-7.38	-7.28	1	Simbad
39	G025.651+01.051	 43.1	 3.0	 2.0	 2.2	 2.4	 7.1	 4.8	17.9	14.9	20.0	16.1	 0.32	15.21	14.83	-7.81	-7.39	2	Simbad
40	G025.711+00.045	 99.0	 2.2	 2.2	 4.4	 4.5	 3.7	 3.4	16.7	16.8	18.4	18.5	 0.20	15.11	15.07	-7.63	-7.49	 	Simbad
41	G025.826-00.178	 94.2	 2.9	 2.6	 3.9	 3.7	 4.3	 3.6	17.3	16.8	19.2	18.5	 0.21	15.23	15.09	-7.96	-7.67	 	Simbad
42	G027.259+00.139	 33.3	 2.4	 2.5	 4.1	 3.2	 4.1	 3.8	14.6	14.9	15.7	16.1	 0.26	15.13	15.03	-7.21	-7.24	 	Simbad
42	G027.292+00.152	 31.4	 2.7	 2.6	 3.3	 3.4	 4.6	 3.9	16.2	16.0	17.7	17.5	 0.24	15.15	15.07	-7.37	-7.32	 	Simbad
43	G028.196-00.074	 98.7	 1.8	 1.8	 4.1	 3.5	 4.0	 3.6	13.3	13.2	14.1	14.0	 0.27	14.98	14.92	-7.64	-7.56	 	Simbad
43	G028.203-00.049	 96.2	 2.9	 2.5	 3.3	 3.4	 5.7	 3.9	18.5	16.3	20.7	17.8	 0.24	15.28	15.02	-7.80	-7.50	 	Simbad
44	G028.285-00.355	 49.5	 1.6	 1.6	 8.0	 5.9	 5.9	 4.1	14.8	14.2	15.9	15.3	 0.29	15.37	15.11	-7.26	-7.24	 	Simbad
44	G028.315-00.397	 85.5	 1.7	 2.0	 3.5	 2.3	 4.4	 4.1	16.0	16.8	17.4	18.5	 0.24	14.95	14.82	-7.48	-7.56	 	Simbad
45	G028.337+00.115	 81.4	 2.0	 1.8	 4.5	 3.9	 4.5	 3.8	15.5	14.6	16.9	15.7	 0.26	15.14	14.96	-7.45	-7.32	 	Simbad
46	G029.598-00.616	 77.2	 1.6	 1.8	 5.3	 4.3	 6.9	 4.3	14.6	14.1	15.7	15.1	 0.30	15.26	15.03	-7.12	-7.07	1	Simbad
46	G029.606-00.583	 76.2	 2.8	 2.5	 2.2	 2.2	 4.2	 4.0	14.7	14.4	15.8	15.4	 0.28	14.92	14.87	-7.15	-7.04	1	Simbad
47	G030.857+00.040	 74.7	 1.2	 1.2	 4.5	 4.1	 3.6	 3.5	13.5	13.6	14.4	14.4	 0.26	14.81	14.77	-7.45	-7.51	 	Simbad
47	G030.876+00.061	 75.5	 1.6	 1.7	 4.5	 3.8	 4.4	 3.7	15.0	14.7	16.1	15.9	 0.25	15.04	14.88	-7.53	-7.43	 	Simbad
48	G031.281+00.060	109.4	 4.0	 3.0	 2.9	 2.7	 5.2	 4.2	19.0	15.3	21.5	16.6	 0.27	15.34	15.02	-7.68	-7.56	1	Simbad
48	G031.288+00.083	103.4	 1.3	 1.3	 5.7	 4.7	 4.2	 3.9	13.0	12.8	13.8	13.5	 0.31	14.99	14.88	-7.42	-7.45	 	Simbad
49	G031.413+00.306	 97.4	 4.2	 2.3	 7.7	 3.6	 4.3	 3.9	17.2	14.3	19.0	15.3	 0.27	15.69	14.96	-7.92	-7.50	2	Simbad
50	G032.038+00.057	 95.2	 2.9	 3.0	 3.9	 3.5	 7.9	 4.7	16.8	15.6	18.6	17.0	 0.30	15.47	15.23	-7.28	-7.24	2	Simbad
51	G033.390+00.002	 75.1	 3.2	 2.4	 5.0	 3.3	 3.8	 3.6	14.1	14.6	15.1	15.8	 0.24	15.31	15.00	-7.44	-7.42	2	Simbad
52	G033.918+00.107	108.0	 2.4	 2.4	 3.1	 2.8	 6.5	 3.9	17.9	16.3	20.0	17.8	 0.24	15.23	14.95	-7.67	-7.48	1	Simbad
53	G034.411+00.233	 58.2	 2.5	 2.1	 3.9	 3.3	 8.2	 4.6	17.9	14.6	19.9	15.7	 0.31	15.42	14.97	-7.65	-7.44	 	Simbad
54	G035.199-00.742	 34.2	 2.9	 2.5	 2.4	 2.1	 8.0	 5.1	19.1	15.8	21.7	17.2	 0.32	15.30	14.88	-7.84	-7.57	 	Simbad
54	G035.222-00.765	 36.2	 1.1	 1.1	 4.0	 3.3	 4.8	 4.2	11.8	12.1	12.4	12.7	 0.35	14.80	14.71	-7.63	-7.48	 	Simbad
55	G035.463+00.144	 76.9	 2.2	 1.6	 4.0	 2.8	 5.3	 4.3	15.4	14.6	16.7	15.7	 0.30	15.18	14.79	-7.60	-7.43	2	Simbad
56	G037.555+00.201	 85.4	 2.1	 1.7	 4.7	 4.1	 4.9	 3.7	16.2	14.0	17.7	15.0	 0.26	15.21	14.98	-7.67	-7.35	 	Simbad
57	G043.158-00.518	 57.2	 2.0	 2.1	 2.3	 1.9	 4.1	 3.9	15.2	15.7	16.4	17.0	 0.25	14.82	14.70	-7.52	-7.45	1	Simbad
57	G043.178-00.518	 58.4	 2.8	 2.7	 2.2	 1.9	 5.1	 4.1	18.1	17.5	20.3	19.5	 0.23	15.05	14.85	-7.85	-7.65	 	Simbad
58	G043.306-00.211	 60.0	 1.8	 1.6	 4.4	 3.3	 5.2	 3.9	17.0	15.8	18.8	17.3	 0.25	15.15	14.84	-7.63	-7.22	 	Simbad
59	G045.467+00.046	 62.4	 3.6	 3.6	 2.3	 1.8	 5.3	 3.8	18.7	17.2	21.1	19.1	 0.22	15.20	14.94	-7.77	-7.63	 	Simbad
60	G048.949-00.284	 71.4	 2.5	 2.6	 1.4	 1.5	 4.1	 3.9	17.1	17.1	18.9	18.9	 0.23	14.71	14.69	-7.97	-8.00	 	Simbad
60	G048.989-00.301	 68.2	 2.9	 2.9	 2.4	 1.8	 6.2	 4.4	19.6	18.1	22.3	20.3	 0.24	15.20	14.90	-7.77	-7.78	 	Simbad
61	G052.197+00.722	  1.1	 2.6	 2.6	 1.2	 1.2	 3.8	 3.8	17.5	17.5	19.5	19.5	 0.22	14.65	14.63	-7.76	-7.81	 	Simbad
61	G052.205+00.689	  4.5	 3.3	 3.3	 1.9	 2.0	 3.7	 3.5	17.0	17.0	18.8	18.8	 0.21	14.92	14.92	-7.60	-7.47	 	Simbad
61	G052.234+00.754	  4.4	 2.9	 2.8	 1.3	 1.2	 4.7	 4.3	16.7	16.7	18.4	18.4	 0.26	14.79	14.69	-7.56	-7.48	 	Simbad
62	G053.584+00.076	 26.0	 0.9	 1.1	 1.4	 1.6	 5.4	 4.4	14.2	14.7	15.3	15.8	 0.30	14.36	14.43	-7.89	-7.71	 	Simbad
62	G053.614+00.035	 23.4	 1.2	 1.4	 2.8	 2.7	 4.2	 3.8	15.0	15.4	16.2	16.7	 0.25	14.69	14.67	-7.86	-7.70	 	Simbad
63	G058.475+00.435	 36.8	 2.2	 2.6	 2.0	 1.6	 5.5	 4.4	16.7	16.3	18.3	17.8	 0.27	14.93	14.77	-7.53	-7.38	1	Simbad
63	G058.492+00.440	 35.3	 4.2	 4.6	 2.3	 1.7	 3.8	 3.6	14.3	14.0	15.4	15.0	 0.26	15.09	14.96	-7.00	-6.73	2	Simbad
64	G059.787+00.067	 22.9	 1.4	 1.4	 1.8	 1.5	 8.2	 5.6	17.2	15.3	19.0	16.6	 0.37	14.87	14.56	-7.85	-7.66	1	Simbad
65	G075.751+00.342	 -0.9	 3.9	 2.8	 1.3	 0.8	 6.3	 5.6	19.4	18.3	22.0	20.6	 0.31	15.06	14.59	     	     	1	Simbad
65	G075.791+00.335	  0.6	 2.4	 2.2	 1.5	 1.2	 6.5	 4.9	19.0	17.3	21.6	19.2	 0.28	14.91	14.66	     	     	1	Simbad
66	G078.982+00.348	  6.5	 1.6	 1.6	 2.9	 1.7	 7.0	 5.1	15.9	15.6	17.4	16.9	 0.33	15.04	14.66	     	     	1	Simbad

