l,b,Linear Size (pc),sigma (km/s)
13.109,-0.153,6.1723766580089485,0.574291193575
13.12,-0.099,19.443475821420954,0.557241417483
13.124,0.092,1.9151297719485707,0.377958943125
13.124,0.066,1.661991306099494,0.478208970319
13.126,0.016,1.115538772714354,0.209688758069
13.13,-0.332,2.4466074784425724,0.589721104762
13.132,0.029,0.963353400300762,0.354692943506
13.133,-0.01,1.1286853340552154,0.30745155581
13.147,-0.398,0.9572686260159888,0.499634650085
13.161,-0.149,1.0567539255934284,0.406302310157
13.164,-0.012,1.0432485968488514,0.671563339252
13.165,-0.196,1.2346496102691775,0.266890712907
13.175,0.067,4.239250086898811,0.732270342301
13.183,0.02,4.8057540111470205,0.577467705886
13.191,-0.104,4.434374151679185,0.724059179573
13.194,0.168,1.7580117660781414,0.46747459576
13.196,-0.039,0.3352522645995367,0.543750360569
13.203,-0.139,3.367770320980719,0.873448830096
13.212,-0.195,0.9167439038510905,0.406500246325
13.215,-0.06,2.4066268686734515,0.62801848589
13.215,-0.049,0.39997144433289483,0.608741100769
13.221,-0.074,41.610575530777034,0.433345656405
13.228,0.05,11.259803909323779,0.561875635562
13.238,-0.025,0.6984436214248833,0.903820452542
13.246,0.16,3.8098574253876736,0.465367376383
13.28,0.338,0.573128418243418,0.280723819864
13.282,-0.38,1.3477928296065191,0.376999440706
13.284,0.17,4.882995913044915,0.19535734533
13.287,-0.312,21.10489246149932,0.613180899014
13.287,0.028,3.8918984396521887,0.317831167777
13.291,-0.012,0.37436537790090524,1.04122481045
13.306,0.144,4.693524326887548,0.199786395758
13.306,0.005,0.8237873540427331,0.470276449274
13.311,-0.004,0.3127871068382315,0.810639579046
13.314,0.212,4.18427808732628,0.332123915591
13.317,0.019,1.0597073223272113,0.377132028151
13.318,0.011,0.485119859137497,0.754944328915
13.335,-0.373,4.311795837151237,0.355647881186
13.342,-0.041,7.359974043138574,0.537829194076
13.348,0.143,1.0070679180022344,0.289349909283
13.352,0.012,1.4011651008143031,0.490098891073
13.364,0.231,0.7814451713503875,0.262287583485
13.37,0.254,0.4733788593972945,0.275590141223
13.376,0.29,0.38763462476491584,0.183124326803
13.39,0.188,1.016833790821808,0.259805098955
13.391,-0.216,1.5926418521000987,0.861312825217
13.396,-0.262,2.8787580017128502,0.605322285671
13.396,-0.311,0.717437266925408,0.198429746564
13.402,0.184,0.7471839069068125,0.137772115731
13.405,0.115,8.101866996102126,0.370587448236
13.408,-0.268,1.237082996646326,0.496980811525
13.413,-0.284,1.3065437787849339,0.352739363319
13.413,-0.199,0.8530936985153081,0.258389889098
13.418,0.26,1.2192605246295731,0.632166883879
13.432,-0.195,12.168102874284294,0.916716220662
13.432,-0.255,1.4259826051909648,0.738776780522
13.433,-0.028,3.3068081703073027,0.511862841135
13.441,0.19,1.1450253331737867,0.20841063923
13.443,-0.258,0.8320854808372647,0.309442021888
13.454,0.209,0.524403881227508,0.336279678243
13.458,-0.036,2.063303536130966,0.512390502543
13.465,-0.285,2.675412117541523,0.544900648277
13.465,0.173,2.015570575826346,0.380030189993
13.489,-0.215,3.785348264575174,0.779567723252
13.493,-0.009,4.642278388894136,0.214481379628
13.495,-0.083,5.559289742312453,0.274221324513
13.496,-0.321,2.8511671166195027,0.435045971207
13.502,0.045,0.31068264965490494,1.92783856281
13.536,-0.228,0.4518477496503166,0.403400681432
13.566,-0.338,1.1204742455705476,0.223575244216
13.568,-0.306,1.4310579667140444,0.655967417213
13.606,-0.264,1.5030057138792767,0.24842716558
13.651,-0.138,2.950125843309985,0.341740861955
13.668,-0.05,1.7130994957290413,0.573013829406
13.679,-0.221,4.412471680260955,0.377578258149
13.711,-0.301,0.7243502652755186,0.675479933401
13.712,-0.359,1.1341369167611977,0.876314641329
13.725,-0.085,2.9729926835463116,0.567763220909
13.738,-0.203,0.6038023268863811,0.426070131068
13.749,-0.336,1.2763076929469186,0.657772731492
13.749,-0.166,3.79629143580674,0.544697680888
13.787,-0.238,1.6804478399084737,0.619517348139
13.792,0.274,1.0087737030300972,0.313641241381
13.796,0.256,0.9032051859292328,0.473441026377
13.847,0.2,3.8055001841843317,0.344007297339
13.849,-0.266,0.4996258985086393,0.367344339744
13.864,-0.22,2.465810197917752,0.363190844158
13.869,0.279,2.670459007972069,0.839999878789
13.885,-0.363,1.5661284085143934,0.486614808401
13.887,-0.136,9.281228986327033,1.02741578533
13.9,-0.292,4.390280639871898,0.433027292399
13.901,-0.23,1.2764979335425308,0.328003307891
13.901,-0.319,1.993084915476003,0.438677776772
13.924,0.211,3.1691971148294273,0.449379979493
13.955,0.253,1.6487565580436239,0.365466606494
13.973,-0.127,1.5837274198192692,0.677766159854
13.995,0.332,1.7908399588730632,0.336181777937
14.006,-0.159,10.797303547508353,0.630893505505
