Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv     Sum(T)    Npix
303   501   152   543   0.61   1.50   0.98   0.98   2.36       2.76       6    
304   498   130   660   0.61   3.99   3.64   2.33   3.84      37.14      93    
305   471    58   575   0.61   1.68   1.15   1.13   3.18       2.98       8    
306   589   326   538   0.61   3.97   2.73   1.78   4.90      13.93      37    
307   583   117   808   0.61   0.00   1.18   0.80   5.59       8.29      19    
308    60   258   334   0.61   1.03   1.91   1.26   3.24       3.35       8    
309   476   277   651   0.61   1.07   0.00   0.80   4.93       5.10      11    
310   499   126   619   0.61   2.10   2.17   1.38   1.86       6.52      16    
311   324   195   566   0.61   4.45   3.20   3.19   2.65      44.36     118    
312   282   269   546   0.61   1.89   2.60   1.38   5.22      10.01      24    
313   533   228   381   0.61   3.04   2.08   1.69   4.86      14.12      40    
314   280   269   562   0.61   0.99   1.71   1.13   1.40       3.48       9    
315   572   267   529   0.61   1.08   1.55   1.26   1.43       3.73       9    
316   546    52   548   0.61   1.17   1.78   1.38   1.74       6.09      15    
317   156    40   738   0.61   0.00   -NaN   0.56   8.76       6.62      15    
318   530   241   490   0.61   1.54   1.55   1.38   0.00       2.62       6    
319   142   263   673   0.61   1.94   1.89   1.49   0.78       4.25       9    
320    88   263   585   0.61   0.89   2.39   1.13   0.86       2.63       6    
321   535   376   605   0.61   5.06   3.58   3.83   3.69      80.67     237    
322   417   164   525   0.61   3.65   2.19   1.60   3.97      17.95      47    
323   523   144   637   0.61   0.00   0.00   0.56   3.55       2.74       6    
324   226   263   554   0.60   3.52   5.69   3.70   3.65      64.47     205    
325   105   375   327   0.60   9.48   4.39   5.41   6.53     189.89     595    
326    11   288   602   0.60   1.86   1.17   1.13   1.85       4.15      11    
327   132   273   304   0.60   0.00   1.86   0.98   1.17       2.98       6    
328   391    52   530   0.60   1.93   2.96   1.60   1.93       8.76      23    
329   450   509   490   0.60   2.03   2.90   1.26   1.16       3.34       8    
330   547   113   351   0.60   1.06   1.13   0.98   1.14       2.41       6    
331   101   252   554   0.60   5.78   6.83   5.81   3.80     164.77     516    
332   486   277   297   0.60   0.00   -NaN   0.56   5.77       4.29      10    
333   581   282   529   0.60   1.51   2.37   1.38   1.36       3.22       8    
334   452   255   689   0.60   1.18   1.18   0.80   4.23       5.72      14    
335   508   147   692   0.60   0.94   2.36   1.26   1.02       3.13       8    
336   512   147   489   0.60   1.13   4.52   1.69   0.00       4.41       9    
337   530   159   317   0.60   0.00   1.16   0.80   2.40       3.30       8    
338   169   268   676   0.60   -NaN   1.18   0.80   1.67       2.51       6    
339   449   209   586   0.60   1.16   1.18   1.13   0.94       2.69       6    
340   455   274   651   0.60   2.43   2.66   1.95   2.95      12.85      38    
341   150   273   423   0.60   1.17   1.45   1.13   1.11       3.15       7    
342   150   271   468   0.60   1.17   1.17   0.80   2.07       3.04       7    
343   532   161   807   0.60   1.18   1.89   1.26   4.40       7.91      19    
344   482    50   642   0.60   -NaN   0.00   0.56   8.76       6.49      15    
345   453   106   541   0.60   0.95   1.16   0.98   1.72       3.43       8    
346   369   208   555   0.59   3.96   2.62   2.26   1.79      11.00      33    
347   404   141   583   0.59   1.54   1.65   1.38   0.60       2.97       7    
348   424   303   553   0.59   7.10   5.25   4.75   6.04     121.76     408    
349   191   486   645   0.59   1.93   1.78   1.26   0.63       2.68       6    
350   596   295   632   0.59   3.73   5.47   2.99   3.28      43.15     115   
351    91   260   396   0.59   -NaN   1.17   0.80   1.73       2.29       6    
352   435    54   576   0.59   1.42   1.17   1.13   0.94       2.44       6    
353   409    54   405   0.59   1.69   3.35   1.26   3.72       5.89      17    
