Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv     Sum(T)    Npix
212   142   330   211   0.53   0.00   0.00   0.56   7.13       4.85      12    
213   324   163   471   0.53   3.12   3.10   2.39   4.16      28.96      89    
214   310   109   218   0.53   1.71   -NaN   0.98  10.56       7.41      19    
215   293   230   224   0.53   0.00   0.64   0.80   8.39       6.32      16    
216   170   373   512   0.53   0.00   -NaN   0.56   8.76       5.80      15    
217   215   215   546   0.53   1.22   1.50   1.26   2.23       4.37      12    
218   593   342   717   0.53   1.89   2.34   1.87   0.85       6.17      14    
219    79   146   379   0.53   2.51   3.08   1.78   0.72       4.87      12    
220   486   100   450   0.53   0.00   0.00   0.56   8.35       5.63      14    
221    11   196   623   0.53   1.71   2.36   1.69   0.87       3.97      11    
222   511   143   438   0.53   3.57   3.75   2.59   4.58      51.22     144    
223   362   371   715   0.53   -NaN   0.00   0.56   8.76       5.78      15    
224   498   291   556   0.53   2.04   1.77   1.26   4.78       4.23      11    
225   558   230   499   0.53   3.59   2.67   2.33   0.88       6.67      19    
226   527    92   331   0.53   1.31   1.09   1.13   3.98       5.95      15    
227   454   121   356   0.53   1.18   1.89   1.13   2.95       6.65      18    
228   381   115   425   0.53   1.05   2.11   1.38   8.08      13.60      36    
229    95   301   510   0.53   2.36   2.29   1.38   3.48       3.80      11    
230    61   236   719   0.53   -NaN   0.00   0.56   7.88       5.34      13    
231   374    18   505   0.52   1.17   1.18   1.13   3.90       8.92      24    
232   546    93   390   0.52   2.72   1.58   1.38   4.64      13.22      38    
233   137   285   539   0.52   1.74   2.18   1.26   2.88       6.21      17    
234   240   183   446   0.52   3.78   6.23   3.83   3.66      77.23     236    
235   362   371   464   0.52   0.00   0.00   0.56   7.88       5.30      13    
236   592   365   498   0.52   -NaN   -NaN   0.56   7.88       5.29      13    
237   365   319   706   0.52   -NaN   -NaN   0.56   7.88       5.28      13    
238   282   370   203   0.52   0.00   0.00   0.56  10.69       7.01      18    
239    97   334   262   0.52   6.55   3.44   3.34   3.86      43.77     132    
240   365   319   455   0.52   0.00   0.00   0.56   7.88       5.25      13    
241   384   145   365   0.52   2.71   2.61   2.11   3.13      21.65      68    
242   122   297   525   0.52   1.01   1.15   1.13   3.14       4.12      11    
243   326   120   698   0.52   0.62   0.68   0.98   7.19       5.64      15    
244    18   369   210   0.51   1.02   0.89   1.13   6.24       6.82      17    
245   416   242   450   0.51   3.32   3.08   2.76   6.24      58.84     197    
246   382   103   489   0.51   2.37   3.18   2.03   2.47      15.87      47    
247   609   129   336   0.51   -NaN   2.39   1.13   7.00      12.36      36  
248    27   366   302   0.51   1.69   1.51   1.49   3.00       6.75      19    
249   280   372   234   0.51   0.98   2.09   1.13   4.05       6.95      21    
250   529    25   262   0.51   0.65   0.00   0.80   7.54       5.65      14    
251   395   360   239   0.51   1.51   1.60   1.26   4.40       4.71      13    
252   566   275   435   0.51   0.00   0.00   0.56   7.88       5.17      13    
253   446   363   213   0.51   1.16   1.16   1.13   3.86       8.51      22    
254   293   230   475   0.51   0.00   0.00   0.56   7.88       5.16      13    
255   503   319   224   0.51   -NaN   1.14   0.80   5.62       6.53      17    
256   505   285   723   0.51   0.00   -NaN   0.56   7.88       5.15      13    
257   593   108   689   0.51   0.00   0.00   0.56   7.88       5.15      13    
258   362   115   367   0.51   1.88   1.61   1.13   5.41       5.55      16    
259    19   218   423   0.51   2.36   2.52   1.60   1.93       4.67      14    
260   549   106   656   0.51   0.00   0.00   0.56   7.88       5.14      13    
261   557     9   182   0.51   -NaN   0.00   0.56   8.95       5.75      15    
262    30   128   513   0.51   -NaN   0.00   0.56   7.88       5.13      13    
263    15   306   636   0.51   0.00   0.00   0.56   7.88       5.12      13    
264   492   174   437   0.50   4.33   2.20   2.33   3.58      25.75      79    
265   563   360   268   0.50   -NaN   0.00   0.56   7.88       5.11      13    
266   353   122   477   0.50   1.18   3.26   1.49   3.25      10.94      32    
267   299   159   337   0.50   1.39   1.90   1.38   3.14       6.90      19    
268   314   184   524   0.50   1.16   1.12   1.13   3.78       6.77      21    
269   563   360   519   0.50   0.00   0.00   0.56   7.88       5.08      13    
270    19   365   268   0.50   1.89   1.62   1.26   3.18       7.05      19    
271   492    93   323   0.50   1.15   -NaN   0.80   4.57       4.62      13    
272   214   214   449   0.50   3.58   3.29   2.82   4.70      57.41     172    
273    61   236   468   0.50   0.00   0.00   0.56   7.88       5.06      13    
274   549   106   405   0.50   0.00   0.00   0.56   7.88       5.06      13    
275   566    49   300   0.50   1.58   0.91   1.13   2.79       3.68      11    
276   390   294   455   0.50   2.52   2.86   1.78   1.09       5.59      16    
277   385   120   653   0.50   0.65   0.89   0.98   7.16       5.47      15    
278   145   324   543   0.50   1.18   2.12   1.38   1.26       3.78      11    
279    91   343   665   0.50   2.03   1.40   1.38   5.43       5.41      16    
280   443   245   714   0.50   2.16   3.09   2.19   0.00       6.07      15    
281   468    52   582   0.50   0.63   2.36   1.26   6.96       5.93      17    
282   280   366   275   0.50   1.33   2.90   1.49   3.30      10.62      31    
283   529   216   452   0.50   1.18   1.78   1.13   2.86       3.86      12    
284   558   181   469   0.50   1.07   1.43   1.13   2.79       4.72      14
