Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv  Sum(T)  Npix
373    89   284   627   0.52   1.17   -NaN   0.80   3.81    4.13    19    
374   126   375   693   0.52   0.00   0.00   0.56   2.56    1.49     6    
375   347   285   547   0.52   0.00   1.13   0.80   3.31    3.40    14    
376   355   344   649   0.52   0.00   1.68   1.13   4.99    5.56    25    
377   335   354   655   0.52   0.00   -NaN   0.56   5.31    3.02    13    
378   514   362   513   0.52   0.00   -NaN   0.56   2.82    1.61     7    
379   151   414   686   0.52   1.13   -NaN   0.80   5.08    4.96    21    
380    77   346   410   0.52   1.91   1.78   1.26   4.19   11.38    50    
381   370   291   587   0.52   0.00   1.17   0.80   4.48    4.86    21    
382   407   274   550   0.52   9.46   5.63   6.51   7.60  233.66  1111    
383   388   315   521   0.52   -NaN   0.00   0.56   6.14    3.51    15    
384   326   360   694   0.52   0.00   0.00   0.56   6.63    3.78    16    
385   360   347   647   0.52   1.17   1.17   0.80   5.69    5.93    27    
386   309   359   656   0.52   0.00   0.00   0.56   4.54    2.58    11    
387   266   244   555   0.52   1.78   1.65   1.38   2.94    9.09    42    
388   143   416   555   0.52   1.17   3.30   1.60   6.68   16.58    80    
